# Region type : patch stator
# Faces         : 216032
# Area          : 5.75144342e-02
# Scale factor  : 1.00000000e+00
# Time          	min(p)
2320            	-9.75631328e+01
2330            	-9.10637410e+01
2340            	-8.83487846e+01
2350            	-8.71273180e+01
2360            	-8.91570090e+01
2370            	-9.12405801e+01
2380            	-9.04055561e+01
2390            	-8.81107371e+01
2400            	-8.97159901e+01
2410            	-9.28023872e+01
2420            	-9.41889911e+01
2430            	-9.24464491e+01
2440            	-8.61059651e+01
2450            	-8.25622732e+01
2460            	-7.95563854e+01
2470            	-7.95288017e+01
2480            	-8.46201654e+01
2490            	-9.00200845e+01
2500            	-9.82680812e+01
2510            	-1.05520947e+02
2520            	-1.01004948e+02
2530            	-9.26321083e+01
2540            	-8.86816314e+01
2550            	-8.85155569e+01
2560            	-8.69824265e+01
2570            	-8.63088363e+01
2580            	-8.35906847e+01
2590            	-7.83853604e+01
2600            	-7.51327351e+01
2610            	-7.75943019e+01
2620            	-8.68971146e+01
2630            	-9.92718537e+01
2640            	-8.51860635e+01
2650            	-8.45340176e+01
2660            	-9.49184953e+01
2670            	-9.16898110e+01
2680            	-9.47381812e+01
2690            	-9.74484109e+01
2700            	-9.80479497e+01
2710            	-9.63880831e+01
2720            	-9.15717550e+01
2730            	-8.65986223e+01
2740            	-8.39177034e+01
2750            	-8.40876666e+01
2760            	-8.78075528e+01
2770            	-9.32278567e+01
2780            	-9.79304296e+01
2790            	-1.02692458e+02
2800            	-1.05399679e+02
2810            	-1.02427933e+02
2820            	-9.81678720e+01
2830            	-9.26516361e+01
2840            	-8.58986374e+01
2850            	-7.91873023e+01
2860            	-7.55514179e+01
2870            	-7.69700799e+01
2880            	-8.28509153e+01
2890            	-9.51671287e+01
2900            	-1.03318478e+02
2910            	-1.31433811e+02
2920            	-1.35894329e+02
2930            	-1.06834042e+02
2940            	-9.06463562e+01
2950            	-9.24888407e+01
2960            	-9.62697042e+01
2970            	-9.81448351e+01
2980            	-9.72694199e+01
2990            	-9.45568170e+01
3000            	-9.30806853e+01
3010            	-9.16710073e+01
3020            	-8.83158218e+01
3030            	-8.89437624e+01
3040            	-8.38237470e+01
3050            	-8.00003449e+01
3060            	-8.30240721e+01
3070            	-7.69545937e+01
3080            	-8.17033677e+01
3090            	-1.01846043e+02
3100            	-1.15137490e+02
3110            	-1.09489859e+02
3120            	-9.56760650e+01
3130            	-8.37164246e+01
3140            	-9.07784931e+01
3150            	-9.13270892e+01
3160            	-8.87715766e+01
3170            	-8.64360542e+01
3180            	-8.89289310e+01
3190            	-1.01507407e+02
3200            	-1.36435844e+02
3210            	-1.26593964e+02
3220            	-9.88589166e+01
3230            	-9.99319337e+01
3240            	-1.12410503e+02
3250            	-1.24138648e+02
3260            	-1.30692547e+02
3270            	-1.32064538e+02
3280            	-1.28211052e+02
3290            	-1.15983335e+02
3300            	-9.95560392e+01
3310            	-8.58925095e+01
3320            	-7.94361229e+01
3330            	-8.13166802e+01
3340            	-7.65372274e+01
3350            	-8.78659792e+01
3360            	-8.41292218e+01
3370            	-9.27100138e+01
3380            	-9.63768222e+01
3390            	-1.15917368e+02
3400            	-1.22843001e+02
3410            	-1.15123869e+02
3420            	-9.88866818e+01
3430            	-9.22057510e+01
3440            	-8.40110137e+01
3450            	-7.69984969e+01
3460            	-7.76721944e+01
3470            	-8.08066951e+01
3480            	-8.27241739e+01
3490            	-8.56575594e+01
3500            	-8.72025280e+01
3510            	-9.13240442e+01
3520            	-9.50005298e+01
3530            	-9.91459490e+01
3540            	-1.02118098e+02
3550            	-1.13108787e+02
3560            	-1.18720357e+02
3570            	-1.14874402e+02
3580            	-1.03981126e+02
3590            	-9.19857358e+01
3600            	-9.86298297e+01
3610            	-1.10170138e+02
3620            	-1.03193729e+02
3630            	-8.89304409e+01
3640            	-7.87568009e+01
3650            	-7.88690519e+01
3660            	-8.82980177e+01
3670            	-9.25496262e+01
3680            	-9.21993729e+01
3690            	-1.09990673e+02
3700            	-1.17800258e+02
3710            	-1.18417058e+02
3720            	-1.12299166e+02
3730            	-1.02024286e+02
3740            	-9.21764733e+01
3750            	-8.30696505e+01
3760            	-7.99876726e+01
3770            	-7.94261434e+01
3780            	-8.56570421e+01
3790            	-8.37406678e+01
3800            	-8.54183121e+01
3810            	-9.13054289e+01
3820            	-9.70137646e+01
3830            	-9.57826968e+01
3840            	-9.42063680e+01
3850            	-9.38820906e+01
3860            	-9.20155949e+01
3870            	-8.95217093e+01
3880            	-8.61044912e+01
3890            	-8.24232948e+01
3900            	-7.86336191e+01
3910            	-7.86698153e+01
3920            	-9.73024852e+01
3930            	-9.74302309e+01
3940            	-8.95090329e+01
3950            	-8.32673303e+01
3960            	-9.04775013e+01
3970            	-9.58516724e+01
3980            	-9.95984090e+01
3990            	-9.70815677e+01
4000            	-1.07698720e+02
4010            	-1.17269406e+02
4020            	-1.19046752e+02
4030            	-1.14944011e+02
4040            	-9.80026884e+01
4050            	-9.86675724e+01
4060            	-8.10934256e+01
4070            	-7.70849342e+01
4080            	-8.23310264e+01
4090            	-8.52502949e+01
4100            	-8.63873411e+01
4110            	-1.05208087e+02
4120            	-1.13601841e+02
4130            	-9.33463868e+01
4140            	-8.69106888e+01
4150            	-8.63837789e+01
4160            	-9.22871276e+01
4170            	-9.92486206e+01
4180            	-1.00028456e+02
4190            	-9.65675050e+01
4200            	-9.18041530e+01
4210            	-8.86506780e+01
4220            	-1.01816226e+02
4230            	-1.08862462e+02
4240            	-1.00571580e+02
4250            	-8.92368571e+01
4260            	-9.00449003e+01
4270            	-9.03173333e+01
4280            	-9.36188919e+01
4290            	-1.01211387e+02
4300            	-1.15081888e+02
4310            	-1.07959323e+02
4320            	-9.45314486e+01
4330            	-8.09410975e+01
4340            	-7.33051309e+01
4350            	-8.20252245e+01
4360            	-8.39638711e+01
4370            	-8.29746487e+01
4380            	-8.39227152e+01
4390            	-8.76172175e+01
4400            	-9.32516367e+01
4410            	-1.00506484e+02
4420            	-1.06489914e+02
4430            	-1.00421752e+02
4440            	-8.67279736e+01
4450            	-8.65440897e+01
4460            	-8.93051680e+01
