# Prototype 1B-14 loop sections (design B) - SYNTHETIC, GENERATED BY scripts/make_geometry.py
# Design frame: mm, axis +z, omega +z, jet +z. Generator line at 50% chord.
# s = path length from the leading root; beta = face pitch angle.
k,s_mm,r_mm,theta_deg,z_mm,beta_deg,chord_mm,thickness_mm,t_c
71,56.0256,44.0019,33.4558,5.6594,11.9233,18.9654,3.1606,0.1602
72,56.8147,43.6899,34.3919,5.7692,12.0060,18.9539,3.1599,0.1602
73,57.6038,43.3566,35.3237,5.8712,12.0956,18.9399,3.1589,0.1603
74,58.3928,43.0021,36.2506,5.9657,12.1924,18.9229,3.1578,0.1604
75,59.1819,42.6264,37.1718,6.0527,12.2966,18.9026,3.1565,0.1605
76,59.9710,42.2296,38.0865,6.1324,12.4085,18.8786,3.1549,0.1606
77,60.7601,41.8118,38.9938,6.2049,12.5286,18.8506,3.1531,0.1607
78,61.5492,41.3731,39.8927,6.2704,12.6572,18.8180,3.1509,0.1609
79,62.3383,40.9134,40.7821,6.3290,12.7948,18.7805,3.1484,0.1611
80,63.1274,40.4331,41.6608,6.3809,12.9417,18.7376,3.1456,0.1613
81,63.9165,39.9321,42.5276,6.4261,13.0985,18.6889,3.1423,0.1616
82,64.7056,39.4108,43.3812,6.4648,13.2657,18.6340,3.1387,0.1618
83,65.4947,38.8693,44.2200,6.4972,13.4438,18.5723,3.1345,0.1622
84,66.2838,38.3081,45.0426,6.5235,13.6334,18.5036,3.1299,0.1625
85,67.0729,37.7276,45.8473,6.5437,13.8352,18.4273,3.1247,0.1629
86,67.8620,37.1282,46.6325,6.5582,14.0498,18.3430,3.1189,0.1633
87,68.6511,36.5105,47.3964,6.5671,14.2778,18.2505,3.1126,0.1638
88,69.4401,35.8753,48.1373,6.5706,14.5200,18.1495,3.1055,0.1643
89,70.2292,35.2233,48.8534,6.5690,14.7772,18.0396,3.0979,0.1649
90,71.0183,34.5553,49.5430,6.5624,15.0500,17.9206,3.0895,0.1655
