# Prototype 1B-14 loop sections - SYNTHETIC, GENERATED BY scripts/make_geometry.py
# Design frame: mm, axis +z, omega +z, jet +z. Generator line at 50% chord.
# s = path length from the leading root; beta = face pitch angle.
k,s_mm,r_mm,theta_deg,z_mm,beta_deg,chord_mm,thickness_mm,t_c
70,49.1688,45.2227,7.4538,8.6265,11.6103,18.9499,3.1596,0.1603
71,49.8712,44.7271,8.0573,8.7782,11.7354,18.9289,3.1582,0.1604
72,50.5736,44.1990,8.6342,8.8957,11.8717,18.9024,3.1565,0.1605
73,51.2760,43.6416,9.1806,8.9789,12.0189,18.8700,3.1544,0.1607
74,51.9784,43.0582,9.6931,9.0282,12.1770,18.8311,3.1518,0.1608
75,52.6808,42.4523,10.1683,9.0439,12.3455,18.7854,3.1488,0.1611
76,53.3832,41.8274,10.6033,9.0265,12.5241,18.7327,3.1453,0.1613
77,54.0856,41.1871,10.9953,8.9766,12.7125,18.6728,3.1413,0.1616
78,54.7881,40.5349,11.3420,8.8950,12.9103,18.6058,3.1368,0.1620
79,55.4905,39.8743,11.6414,8.7823,13.1168,18.5318,3.1318,0.1624
80,56.1929,39.2089,11.8919,8.6393,13.3315,18.4510,3.1263,0.1628
81,56.8953,38.5412,12.1025,8.4744,13.5540,18.3638,3.1203,0.1632
82,57.5977,37.8714,12.3055,8.3118,13.7847,18.2703,3.1139,0.1637
83,58.3001,37.1995,12.5032,8.1535,14.0239,18.1704,3.1070,0.1642
84,59.0025,36.5254,12.6956,7.9995,14.2723,18.0642,3.0996,0.1648
85,59.7049,35.8494,12.8825,7.8498,14.5301,17.9518,3.0917,0.1654
86,60.4073,35.1714,13.0639,7.7046,14.7980,17.8333,3.0833,0.1660
87,61.1098,34.4916,13.2397,7.5638,15.0765,17.7088,3.0743,0.1667
88,61.8122,33.8100,13.4098,7.4276,15.3662,17.5783,3.0649,0.1674
89,62.5146,33.1268,13.5743,7.2959,15.6677,17.4420,3.0550,0.1681
90,63.2170,32.4420,13.7329,7.1689,15.9817,17.3000,3.0445,0.1689
91,63.9194,31.7556,13.8857,7.0465,16.3090,17.1525,3.0335,0.1697
92,64.6218,31.0678,14.0326,6.9289,16.6502,16.9995,3.0220,0.1705
93,65.3242,30.3787,14.1735,6.8161,17.0064,16.8413,3.0099,0.1714
94,66.0266,29.6882,14.3084,6.7081,17.3783,16.6780,2.9973,0.1723
95,66.7290,28.9966,14.4373,6.6049,17.7670,16.5097,2.9842,0.1733
96,67.4315,28.3038,14.5600,6.5066,18.1736,16.3368,2.9705,0.1743
97,68.1339,27.6100,14.6766,6.4132,18.5993,16.1592,2.9563,0.1753
98,68.8363,26.9151,14.7870,6.3248,19.0452,15.9774,2.9416,0.1764
99,69.5387,26.2194,14.8912,6.2414,19.5128,15.7913,2.9263,0.1775
100,70.2411,25.5227,14.9891,6.1630,20.0037,15.6014,2.9106,0.1787
101,70.9435,24.8253,15.0808,6.0896,20.5194,15.4077,2.8943,0.1799
102,71.6459,24.1272,15.1661,6.0213,21.0617,15.2105,2.8774,0.1811
103,72.3483,23.4284,15.2450,5.9581,21.6326,15.0101,2.8601,0.1824
104,73.0507,22.7290,15.3176,5.8999,22.2342,14.8067,2.8423,0.1837
105,73.7532,22.0291,15.3838,5.8469,22.8689,14.6005,2.8240,0.1850
106,74.4556,21.3287,15.4436,5.7991,23.5393,14.3917,2.8052,0.1864
107,75.1580,20.6279,15.4970,5.7564,24.2482,14.1807,2.7859,0.1878
108,75.8604,19.9266,15.5439,5.7188,24.9987,13.9676,2.7662,0.1892
109,76.5628,19.2251,15.5843,5.6864,25.7942,13.7528,2.7461,0.1907
110,77.2652,18.5233,15.6183,5.6592,26.6385,13.5364,2.7255,0.1923
111,77.9676,17.8213,15.6457,5.6372,27.5359,13.3188,2.7045,0.1938
112,78.6700,17.1191,15.6667,5.6204,28.4908,13.1002,2.6831,0.1954
113,79.3724,16.4168,15.6813,5.6088,29.5084,12.9539,2.7240,0.2008
114,80.0749,15.7145,15.6893,5.6024,30.5942,13.0098,2.9460,0.2170
115,80.7773,15.0121,15.6910,5.6010,31.7545,13.3233,3.3725,0.2439
116,81.4797,14.3096,15.6910,5.6010,32.9960,14.0079,4.0508,0.2804
117,82.1821,13.6072,15.6910,5.6010,34.3263,14.3750,4.4351,0.3000
118,82.8845,12.9048,15.6910,5.6010,35.7536,14.3750,4.4351,0.3000
119,83.5869,12.2024,15.6910,5.6010,37.2870,14.3750,4.4351,0.3000
120,84.2893,11.5000,15.6910,5.6010,38.9363,14.3750,4.4351,0.3000
