station,s_mm,u,x_mm,y_mm,z_mm,r_mm,theta_deg,pitch_angle_deg,P_over_D,chord_mm,section_thickness_mm,t_c
56,54.459,0.6141,45.429,-4.2101,3.9779,45.623,-5.2948,14.662,0.75,11.845,2.2005,0.17247
57,55.431,0.62922,44.645,-4.7387,4.2068,44.896,-6.0587,14.889,0.75,12.165,2.2427,0.17143
58,56.404,0.64337,43.828,-5.2242,4.4126,44.139,-6.7973,15.133,0.75,12.432,2.2799,0.17075
59,57.376,0.65672,42.986,-5.6725,4.5987,43.359,-7.5175,15.392,0.75,12.647,2.3125,0.17044
60,58.349,0.66939,42.123,-6.0886,4.7677,42.561,-8.2246,15.667,0.75,12.814,2.3412,0.17048
61,59.321,0.68146,41.245,-6.4762,4.9218,41.75,-8.9236,15.955,0.75,12.938,2.3669,0.17085
62,60.294,0.69301,40.354,-6.8387,5.0628,40.929,-9.6185,16.259,0.75,13.023,2.39,0.17152
63,61.266,0.70412,39.452,-7.1786,5.192,40.1,-10.313,16.577,0.75,13.074,2.4111,0.17247
64,62.239,0.71484,38.541,-7.4982,5.3106,39.264,-11.009,16.91,0.75,13.097,2.4306,0.17368
65,63.211,0.7252,37.623,-7.7992,5.4196,38.423,-11.712,17.258,0.75,13.094,2.4489,0.17513
66,64.184,0.73525,36.698,-8.0833,5.5198,37.578,-12.422,17.623,0.75,13.069,2.4662,0.17679
67,65.156,0.74503,35.768,-8.3517,5.612,36.73,-13.143,18.003,0.75,13.026,2.4826,0.17865
68,66.129,0.75455,34.833,-8.6056,5.6967,35.88,-13.877,18.401,0.75,12.966,2.4983,0.18069
69,67.101,0.76384,33.894,-8.846,5.7744,35.029,-14.627,18.817,0.75,12.893,2.5134,0.18289
70,68.074,0.77292,32.951,-9.0738,5.8457,34.178,-15.396,19.252,0.75,12.808,2.5279,0.18524
71,69.046,0.78182,32.005,-9.2896,5.9109,33.326,-16.186,19.706,0.75,12.714,2.5418,0.18772
72,70.019,0.79054,31.056,-9.4943,5.9703,32.475,-16.999,20.181,0.75,12.61,2.5551,0.19032
73,70.991,0.7991,30.105,-9.6883,6.0243,31.626,-17.839,20.678,0.75,12.5,2.5677,0.19302
74,71.964,0.80752,29.151,-9.8721,6.0731,30.778,-18.709,21.198,0.75,12.384,2.5796,0.19581
75,72.936,0.81581,28.196,-10.046,6.117,29.932,-19.611,21.742,0.75,12.263,2.5908,0.19866
